date,state,rate
2021/1/13,California,0.34
2021/1/14,California,0.43
2021/1/15,California,0.52
2021/1/16,California,0.56
2021/1/17,California,0.6
2021/1/18,California,0.63
2021/1/19,California,0.66
2021/1/20,California,0.69
2021/1/21,California,0.74
2021/1/22,California,0.81
2021/1/23,California,0.86
2021/1/24,California,0.9
2021/1/25,California,0.94
2021/1/26,California,0.98
2021/1/27,California,1.06
2021/1/28,California,1.16
2021/1/29,California,1.23
2021/1/30,California,1.33
2021/1/31,California,1.41
2021/2/1,California,1.47
2021/2/2,California,1.5
2021/2/3,California,1.55
2021/2/4,California,1.58
2021/2/5,California,1.71
2021/2/6,California,1.84
2021/2/7,California,2.05
2021/2/8,California,2.15
2021/2/9,California,2.22
2021/2/10,California,2.35
2021/2/11,California,2.51
2021/2/12,California,2.74
2021/2/13,California,2.98
2021/2/14,California,3.26
2021/2/15,California,3.47
2021/2/16,California,3.69
2021/2/17,California,3.82
2021/2/18,California,4
2021/2/19,California,4.44
2021/2/20,California,4.72
2021/2/21,California,5
2021/2/22,California,5.18
2021/2/23,California,5.32
2021/2/24,California,5.49
2021/2/25,California,5.72
2021/2/26,California,6.02
2021/2/27,California,6.33
2021/2/28,California,6.6
2021/3/1,California,6.94
2021/3/2,California,7.34
2021/3/3,California,7.57
2021/3/4,California,7.7
2021/3/5,California,7.91
2021/3/6,California,8.25
2021/3/7,California,8.47
2021/3/8,California,8.62
2021/3/9,California,8.72
2021/3/10,California,8.82
2021/3/11,California,8.96
2021/3/12,California,9.15
2021/3/13,California,9.67
2021/3/14,California,9.67
2021/3/15,California,10.13
2021/3/16,California,10.51
2021/3/17,California,11
2021/3/18,California,11.43
2021/3/19,California,11.76
2021/3/20,California,12.13
2021/3/21,California,12.61
2021/3/22,California,12.91
2021/3/23,California,13.17
2021/3/24,California,13.51
2021/3/25,California,13.87
2021/3/26,California,14.34
2021/3/27,California,14.76
2021/3/28,California,15.14
2021/3/29,California,15.52
2021/3/30,California,15.76
2021/3/31,California,16.07
2021/4/1,California,16.41
2021/4/2,California,16.8
2021/4/3,California,17.25
2021/4/4,California,17.77
2021/4/5,California,18.14
2021/4/6,California,18.35
2021/4/7,California,18.79
2021/4/8,California,19.23
2021/4/9,California,19.8
2021/4/10,California,20.53
2021/4/11,California,21.09
2021/4/12,California,21.41
2021/4/13,California,21.65
2021/4/14,California,22.01
2021/4/15,California,22.67
2021/4/16,California,23.89
2021/4/17,California,24.49
2021/4/18,California,25.05
2021/4/19,California,25.41
2021/4/20,California,25.7
2021/4/21,California,26.11
2021/4/22,California,26.56
2021/4/23,California,27
2021/4/24,California,27.77
2021/4/25,California,28.35
2021/4/26,California,28.78
2021/4/27,California,29.05
2021/4/28,California,29.4
2021/4/29,California,29.86
2021/4/30,California,30.23
2021/5/1,California,31.08
2021/1/12,Colorado,0.63
2021/1/13,Colorado,0.72
2021/1/14,Colorado,0.77
2021/1/15,Colorado,0.82
2021/1/16,Colorado,0.83
2021/1/17,Colorado,0.84
2021/1/18,Colorado,0.85
2021/1/19,Colorado,0.87
2021/1/20,Colorado,0.89
2021/1/21,Colorado,0.95
2021/1/22,Colorado,1.01
2021/1/23,Colorado,1.08
2021/1/24,Colorado,1.34
2021/1/25,Colorado,1.4
2021/1/26,Colorado,1.44
2021/1/27,Colorado,1.57
2021/1/28,Colorado,1.71
2021/1/29,Colorado,1.88
2021/1/30,Colorado,2.06
2021/1/31,Colorado,2.17
2021/2/1,Colorado,2.27
2021/2/2,Colorado,2.31
2021/2/3,Colorado,2.44
2021/2/4,Colorado,2.6
2021/2/5,Colorado,2.82
2021/2/6,Colorado,3.11
2021/2/7,Colorado,3.43
2021/2/8,Colorado,3.61
2021/2/9,Colorado,3.67
2021/2/10,Colorado,3.92
2021/2/11,Colorado,4.16
2021/2/12,Colorado,4.41
2021/2/13,Colorado,4.72
2021/2/14,Colorado,5.05
2021/2/15,Colorado,5.21
2021/2/16,Colorado,5.37
2021/2/17,Colorado,5.46
2021/2/18,Colorado,5.6
2021/2/19,Colorado,6
2021/2/20,Colorado,6.26
2021/2/21,Colorado,6.57
2021/2/22,Colorado,6.81
2021/2/23,Colorado,6.83
2021/2/24,Colorado,7.18
2021/2/25,Colorado,7.4
2021/2/26,Colorado,7.63
2021/2/27,Colorado,7.65
2021/2/28,Colorado,8.02
2021/3/1,Colorado,8.33
2021/3/2,Colorado,8.42
2021/3/3,Colorado,8.67
2021/3/4,Colorado,8.91
2021/3/5,Colorado,9.14
2021/3/6,Colorado,9.54
2021/3/7,Colorado,9.86
2021/3/8,Colorado,9.93
2021/3/9,Colorado,10.16
2021/3/10,Colorado,10.58
2021/3/11,Colorado,11.12
2021/3/12,Colorado,11.55
2021/3/13,Colorado,12.07
2021/3/14,Colorado,12.07
2021/3/15,Colorado,12.51
2021/3/16,Colorado,12.65
2021/3/17,Colorado,12.97
2021/3/18,Colorado,13.3
2021/3/19,Colorado,13.6
2021/3/20,Colorado,14.55
2021/3/21,Colorado,15.05
2021/3/22,Colorado,15.25
2021/3/23,Colorado,15.45
2021/3/24,Colorado,15.63
2021/3/25,Colorado,15.85
2021/3/26,Colorado,16.1
2021/3/27,Colorado,16.43
2021/3/28,Colorado,16.79
2021/3/29,Colorado,16.95
2021/3/30,Colorado,17.21
2021/3/31,Colorado,17.51
2021/4/1,Colorado,17.86
2021/4/2,Colorado,18.25
2021/4/3,Colorado,18.78
2021/4/4,Colorado,19.25
2021/4/5,Colorado,19.43
2021/4/6,Colorado,19.65
2021/4/7,Colorado,20.09
2021/4/8,Colorado,20.51
2021/4/9,Colorado,20.97
2021/4/10,Colorado,21.7
2021/4/11,Colorado,22.33
2021/4/12,Colorado,22.78
2021/4/13,Colorado,23.15
2021/4/14,Colorado,23.6
2021/4/15,Colorado,23.95
2021/4/16,Colorado,24.41
2021/4/17,Colorado,25.04
2021/4/18,Colorado,25.74
2021/4/19,Colorado,26.23
2021/4/20,Colorado,26.67
2021/4/21,Colorado,27.12
2021/4/22,Colorado,27.72
2021/4/23,Colorado,28.43
2021/4/24,Colorado,28.48
2021/4/25,Colorado,30
2021/4/26,Colorado,30.31
2021/4/27,Colorado,30.7
2021/4/28,Colorado,31.12
2021/4/29,Colorado,31.68
2021/4/30,Colorado,32.24
2021/5/1,Colorado,33.01
2021/1/12,Connecticut,0.12
2021/1/13,Connecticut,0.15
2021/1/14,Connecticut,0.32
2021/1/15,Connecticut,0.48
2021/1/16,Connecticut,0.52
2021/1/17,Connecticut,0.56
2021/1/18,Connecticut,0.6
2021/1/19,Connecticut,0.65
2021/1/20,Connecticut,0.7
2021/1/21,Connecticut,0.8
2021/1/22,Connecticut,0.93
2021/1/23,Connecticut,1.04
2021/1/24,Connecticut,1.14
2021/1/25,Connecticut,1.19
2021/1/26,Connecticut,1.27
2021/1/27,Connecticut,1.46
2021/1/28,Connecticut,1.67
2021/1/29,Connecticut,1.9
2021/1/30,Connecticut,2.07
2021/1/31,Connecticut,2.23
2021/2/1,Connecticut,2.35
2021/2/2,Connecticut,2.43
2021/2/3,Connecticut,2.54
2021/2/4,Connecticut,2.74
2021/2/5,Connecticut,2.98
2021/2/6,Connecticut,3.24
2021/2/7,Connecticut,3.46
2021/2/8,Connecticut,3.57
2021/2/9,Connecticut,3.74
2021/2/10,Connecticut,4.01
2021/2/11,Connecticut,4.34
2021/2/12,Connecticut,4.71
2021/2/13,Connecticut,5.14
2021/2/14,Connecticut,5.38
2021/2/15,Connecticut,5.59
2021/2/16,Connecticut,5.8
2021/2/17,Connecticut,6.14
2021/2/18,Connecticut,6.5
2021/2/19,Connecticut,7.12
2021/2/20,Connecticut,7.44
2021/2/21,Connecticut,7.6
2021/2/22,Connecticut,7.79
2021/2/23,Connecticut,7.87
2021/2/24,Connecticut,7.96
2021/2/25,Connecticut,8.04
2021/2/26,Connecticut,8.17
2021/2/27,Connecticut,8.31
2021/2/28,Connecticut,8.45
2021/3/1,Connecticut,8.58
2021/3/2,Connecticut,8.63
2021/3/3,Connecticut,8.74
2021/3/4,Connecticut,8.82
2021/3/5,Connecticut,8.92
2021/3/6,Connecticut,9.02
2021/3/7,Connecticut,9.14
2021/3/8,Connecticut,9.56
2021/3/9,Connecticut,9.69
2021/3/10,Connecticut,9.94
2021/3/11,Connecticut,11.27
2021/3/12,Connecticut,12.6
2021/3/13,Connecticut,13.92
2021/3/14,Connecticut,13.92
2021/3/15,Connecticut,14.3
2021/3/16,Connecticut,14.5
2021/3/17,Connecticut,14.82
2021/3/18,Connecticut,15.24
2021/3/19,Connecticut,15.69
2021/3/20,Connecticut,16.12
2021/3/21,Connecticut,16.53
2021/3/22,Connecticut,16.93
2021/3/23,Connecticut,17.07
2021/3/24,Connecticut,17.34
2021/3/25,Connecticut,17.73
2021/3/26,Connecticut,18.13
2021/3/27,Connecticut,18.64
2021/3/28,Connecticut,19.15
2021/3/29,Connecticut,19.57
2021/3/30,Connecticut,20
2021/3/31,Connecticut,20.35
2021/4/1,Connecticut,20.86
2021/4/2,Connecticut,21.47
2021/4/3,Connecticut,22.3
2021/4/4,Connecticut,22.91
2021/4/5,Connecticut,23.55
2021/4/6,Connecticut,23.65
2021/4/7,Connecticut,24.19
2021/4/8,Connecticut,24.9
2021/4/9,Connecticut,25.8
2021/4/10,Connecticut,26.48
2021/4/11,Connecticut,27.34
2021/4/12,Connecticut,28.1
2021/4/13,Connecticut,28.61
2021/4/14,Connecticut,29.18
2021/4/15,Connecticut,29.7
2021/4/16,Connecticut,30.38
2021/4/17,Connecticut,30.98
2021/4/18,Connecticut,31.64
2021/4/19,Connecticut,32.19
2021/4/20,Connecticut,32.52
2021/4/21,Connecticut,33.03
2021/4/22,Connecticut,33.66
2021/4/23,Connecticut,34.31
2021/4/24,Connecticut,35.07
2021/4/25,Connecticut,35.87
2021/4/26,Connecticut,36.43
2021/4/27,Connecticut,36.65
2021/4/28,Connecticut,37.23
2021/4/29,Connecticut,37.89
2021/4/30,Connecticut,38.5
2021/5/1,Connecticut,39.34
2021/1/12,Delaware,0.29
2021/1/13,Delaware,0.42
2021/1/14,Delaware,0.49
2021/1/15,Delaware,0.55
2021/1/16,Delaware,0.59
2021/1/17,Delaware,0.63
2021/1/18,Delaware,0.67
2021/1/19,Delaware,0.7
2021/1/20,Delaware,0.71
2021/1/21,Delaware,0.76
2021/1/22,Delaware,0.91
2021/1/23,Delaware,1.07
2021/1/24,Delaware,1.18
2021/1/25,Delaware,1.2
2021/1/26,Delaware,1.2
2021/1/27,Delaware,1.27
2021/1/28,Delaware,1.35
2021/1/29,Delaware,1.46
2021/1/30,Delaware,1.54
2021/1/31,Delaware,1.68
2021/2/1,Delaware,1.81
2021/2/2,Delaware,1.85
2021/2/3,Delaware,1.91
2021/2/4,Delaware,2.09
2021/2/5,Delaware,2.18
2021/2/6,Delaware,2.34
2021/2/7,Delaware,2.49
2021/2/8,Delaware,2.59
2021/2/9,Delaware,2.61
2021/2/10,Delaware,2.68
2021/2/11,Delaware,2.76
2021/2/12,Delaware,2.85
2021/2/13,Delaware,3.02
2021/2/14,Delaware,3.19
2021/2/15,Delaware,3.34
2021/2/16,Delaware,3.49
2021/2/17,Delaware,3.66
2021/2/18,Delaware,3.85
2021/2/19,Delaware,4.06
2021/2/20,Delaware,4.27
2021/2/21,Delaware,4.48
2021/2/22,Delaware,4.78
2021/2/23,Delaware,5.01
2021/2/24,Delaware,5.26
2021/2/25,Delaware,5.64
2021/2/26,Delaware,6.15
2021/2/27,Delaware,6.75
2021/2/28,Delaware,7.12
2021/3/1,Delaware,7.57
2021/3/2,Delaware,7.58
2021/3/3,Delaware,8.35
2021/3/4,Delaware,8.72
2021/3/5,Delaware,9.18
2021/3/6,Delaware,9.62
2021/3/7,Delaware,10.06
2021/3/8,Delaware,10.33
2021/3/9,Delaware,10.64
2021/3/10,Delaware,10.66
2021/3/11,Delaware,11.11
2021/3/12,Delaware,11.43
2021/3/13,Delaware,11.85
2021/3/14,Delaware,11.87
2021/3/15,Delaware,12.4
2021/3/16,Delaware,12.61
2021/3/17,Delaware,12.79
2021/3/18,Delaware,12.93
2021/3/19,Delaware,13.06
2021/3/20,Delaware,13.29
2021/3/21,Delaware,13.5
2021/3/22,Delaware,13.7
2021/3/23,Delaware,13.72
2021/3/24,Delaware,13.92
2021/3/25,Delaware,14.22
2021/3/26,Delaware,14.58
2021/3/27,Delaware,15.01
2021/3/28,Delaware,15.39
2021/3/29,Delaware,15.7
2021/3/30,Delaware,15.96
2021/3/31,Delaware,16.41
2021/4/1,Delaware,16.8
2021/4/2,Delaware,17.22
2021/4/3,Delaware,17.67
2021/4/4,Delaware,18.08
2021/4/5,Delaware,18.29
2021/4/6,Delaware,18.38
2021/4/7,Delaware,18.87
2021/4/8,Delaware,19.26
2021/4/9,Delaware,19.92
2021/4/10,Delaware,20.64
2021/4/11,Delaware,21.48
2021/4/12,Delaware,21.81
2021/4/13,Delaware,22.11
2021/4/14,Delaware,22.81
2021/4/15,Delaware,23.54
2021/4/16,Delaware,24.27
2021/4/17,Delaware,24.94
2021/4/18,Delaware,25.61
2021/4/19,Delaware,26.11
2021/4/20,Delaware,26.32
2021/4/21,Delaware,26.91
2021/4/22,Delaware,27.59
2021/4/23,Delaware,28.3
2021/4/24,Delaware,29.01
2021/4/25,Delaware,29.82
2021/4/26,Delaware,30.23
2021/4/27,Delaware,30.54
2021/4/28,Delaware,31.22
2021/4/29,Delaware,31.77
2021/4/30,Delaware,32.47
2021/5/1,Delaware,33.25
2021/1/12,District of Columbia,0.09
2021/1/13,District of Columbia,0.18
